model,dataset,signal,comparison,method_a,variant_a,method_b,variant_b,auroc_a,auroc_b,delta,ci_lo,ci_hi,p_two_sided,n_paired,same_generations,halluc_rate_a,halluc_rate_b,n_boot,bootstrap_seed
mistral7b_v03,triviaqa,whitebox,C4:max - LLM-Check:logit_entropy,C4,max,LLM-Check,logit_entropy,0.677468,0.627017,0.050451,-0.001103,0.102503,0.053000,1000,False,0.285000,0.269000,2000,0
mistral7b_v03,triviaqa,cross_signal,C1 (whitebox) - C1 (blackbox),C1,,C1,,0.747288,0.796265,-0.048977,-0.079538,-0.019948,0.000000,1000,False,0.269000,0.266000,2000,0
mistral7b_v03,triviaqa,cross_signal,C2 (whitebox) - C2 (blackbox),C2,,C2,,0.662549,0.721801,-0.059252,-0.106185,-0.009136,0.017000,1000,False,0.269000,0.268000,2000,0
mistral7b_v03,triviaqa,cross_signal,C3 (whitebox) - C3 (blackbox),C3,,C3,,0.694280,0.840863,-0.146583,-0.183446,-0.110240,0.000000,1000,False,0.261000,0.259000,2000,0
mistral7b_v03,triviaqa,cross_signal,C4:max (whitebox) - C4:max (blackbox),C4,max,C4,max,0.677468,0.761708,-0.084240,-0.119362,-0.050804,0.000000,1000,False,0.285000,0.285000,2000,0
mistral7b_v03,nqopen,blackbox,C3 - C2,C3,,C2,,0.762447,0.671440,0.091007,0.048659,0.133592,0.000000,1000,False,0.461000,0.414000,2000,0
mistral7b_v03,nqopen,blackbox,C4:max - C2,C4,max,C2,,0.685351,0.671440,0.013911,-0.029840,0.058018,0.529000,1000,False,0.441000,0.414000,2000,0
mistral7b_v03,nqopen,blackbox,C4:max - C3,C4,max,C3,,0.685351,0.762447,-0.077096,-0.115613,-0.038729,0.000000,1000,False,0.441000,0.461000,2000,0
mistral7b_v03,nqopen,blackbox,C2 - C1,C2,,C1,,0.671440,0.727568,-0.056128,-0.099461,-0.014324,0.006000,1000,False,0.414000,0.442000,2000,0
mistral7b_v03,nqopen,blackbox,C3 - C1,C3,,C1,,0.762447,0.727568,0.034879,-0.001393,0.070590,0.053000,1000,False,0.461000,0.442000,2000,0
mistral7b_v03,nqopen,blackbox,C4:max - C4:mean,C4,max,C4,mean,0.685351,0.639346,0.046005,0.015731,0.076722,0.000000,1000,True,0.441000,0.441000,2000,0
mistral7b_v03,nqopen,blackbox,C4:mean - C2,C4,mean,C2,,0.639346,0.671440,-0.032094,-0.077599,0.016107,0.177000,1000,False,0.441000,0.414000,2000,0
mistral7b_v03,nqopen,blackbox,C2 - SemanticEntropy:se_discrete,C2,,SemanticEntropy,se_discrete,0.671440,0.611453,0.059987,0.047161,0.073577,0.000000,1000,True,0.414000,0.414000,2000,0
mistral7b_v03,nqopen,blackbox,C2 - SelfCheckGPT-NLI,C2,,SelfCheckGPT-NLI,,0.671440,0.728459,-0.057019,-0.085137,-0.028563,0.000000,1000,True,0.414000,0.414000,2000,0
