model,dataset,signal,family,method,variant,auroc,ci_lo,ci_hi,hallucination_rate,n_questions,in_figure,n_boot,bootstrap_seed,source_file
mistral7b_v03,triviaqa,blackbox,baseline,SelfCheckGPT-NLI,,0.815604,0.784790,0.844547,0.268000,1000,True,2000,0,results/selfcheck-gpt/selfcheck_c2_triviaqa_mistral_results.json
mistral7b_v03,triviaqa,blackbox,baseline,SemanticEntropy,se_discrete,0.634894,0.596800,0.672742,0.268000,1000,True,2000,0,results/semantic-entropy/se_c2_results.json
mistral7b_v03,triviaqa,blackbox,kle,C2,,0.721801,0.683942,0.759398,0.268000,1000,True,2000,0,results/black-box/triviaqa/c2_triviaqa_mistral_BB_results.json
mistral7b_v03,triviaqa,blackbox,kle,C3,,0.840863,0.810749,0.869309,0.259000,1000,True,2000,0,results/black-box/triviaqa/c3_triviaqa_mistral_BB_results.json
mistral7b_v03,triviaqa,blackbox,kle,C4,max,0.761708,0.728478,0.795204,0.285000,1000,True,2000,0,results/black-box/triviaqa/c4_triviaqa_mistral_BB_results.json
mistral7b_v03,triviaqa,blackbox,kle,C4,mean,0.692882,0.656745,0.727233,0.285000,1000,True,2000,0,results/black-box/triviaqa/c4_triviaqa_mistral_BB_results.json
mistral7b_v03,triviaqa,whitebox,baseline,LLM-Check,attn,0.572486,0.534361,0.609579,0.269000,1000,False,2000,0,results/llm-check/llmcheck_c2_triviaqa_mistral_results.json
mistral7b_v03,triviaqa,whitebox,baseline,LLM-Check,hidden,0.467349,0.426617,0.509640,0.269000,1000,False,2000,0,results/llm-check/llmcheck_c2_triviaqa_mistral_results.json
mistral7b_v03,triviaqa,whitebox,baseline,LLM-Check,logit_entropy,0.627017,0.588417,0.664009,0.269000,1000,True,2000,0,results/llm-check/llmcheck_c2_triviaqa_mistral_results.json
mistral7b_v03,triviaqa,whitebox,baseline,LLM-Check,ppl,0.584706,0.544375,0.624607,0.269000,1000,False,2000,0,results/llm-check/llmcheck_c2_triviaqa_mistral_results.json
mistral7b_v03,triviaqa,whitebox,baseline,LLM-Check,window_entropy,0.625705,0.586260,0.663339,0.269000,1000,False,2000,0,results/llm-check/llmcheck_c2_triviaqa_mistral_results.json
mistral7b_v03,triviaqa,whitebox,baseline,SemanticEntropy,se_weighted,0.634655,0.596398,0.672746,0.268000,1000,True,2000,0,results/semantic-entropy/se_c2_results.json
mistral7b_v03,triviaqa,whitebox,kle,C2,,0.662549,0.626117,0.701692,0.269000,1000,True,2000,0,results/white-box/triviaqa/c2_triviaqa_mistral_WB_results.json
mistral7b_v03,triviaqa,whitebox,kle,C3,,0.694280,0.658510,0.731239,0.261000,1000,True,2000,0,results/white-box/triviaqa/c3_triviaqa_mistral_WB_results.json
mistral7b_v03,triviaqa,whitebox,kle,C4,attn_mean,0.694707,0.658319,0.729082,0.285000,1000,True,2000,0,results/white-box/triviaqa/c4_triviaqa_mistral_WB_results.json
mistral7b_v03,triviaqa,whitebox,kle,C4,max,0.677468,0.640072,0.713108,0.285000,1000,True,2000,0,results/white-box/triviaqa/c4_triviaqa_mistral_WB_results.json
mistral7b_v03,triviaqa,whitebox,kle,C4,mean,0.681713,0.644580,0.717109,0.285000,1000,True,2000,0,results/white-box/triviaqa/c4_triviaqa_mistral_WB_results.json
